Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
Sponsorship,0065g00000WfpXrAAJ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Qualify,,2163720000
Sponsorship,0065g00000Ut95NAAR, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,853000000
Sponsorship,0065g00000Ur7hlAAB, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,100000000
Sponsorship,0065g00000Wfrf0AAB, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,3000000000
Sponsorship,0065g00000Ut6nlAAB, TM_BANK UOB INDONESIA PT ,SEA,East Regional,Strategic Financial & Multinational Bank,Februari,POC Event AP3MI,Complete,,5000000
Sponsorship,0065g00000Wh2qGAAR, TM_DUA KELINCI PT ,REA,"Financial, & Retail Business",Account Director,Februari,POC Event AP3MI,Complete,,231000000
Sponsorship,0065g00000WgRTAAA3, TM_KOBE BOGA UTAMA PT ,NEA,SMB Business Operation,Retail Management,Februari,POC Event AP3MI,Identify,,0
Sponsorship,0065g00000WgFg2AAF, TM_SAI INDONESIA PT ,SMB,EAST REGIONAL,SMB Jabotabtek & West Java,Februari,POC Event AP3MI,Identify,,0
JPS,0065g00000WgAH7AAN,BPD BALI,REA,EAST REGIONAL,BALI NUSRA,Maret,JPS BPD BALI,Complete,,55000000
JPS,0065g00000P3xbFAAR,BPD BALI,REA,EAST REGIONAL,BALI NUSRA,Maret,JPS BPD BALI,Cash,,241775000
JPS,0065g00000K7hvIAAR,BPD BALI,REA,Bank. & Financial Institution,BALI NUSRA,Maret,JPS BPD BALI,Complete,,58000000
JPS,0065g00000SdoFEAAZ,ARTAJASA PEMBAYARAN ELEKTRONIS PT,SEA,Bank. & Financial Institution,Finance & Multinational Bank,Maret,Tranf Knowledge Project Artajsa,Complete,14904000,2000000000
